,IPL_Bat_Rank,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,HS_was_NO
0,1.0,Virat Kohli,223.0,215.0,32.0,6624.0,113.0,36.2,5129.0,129.15,5.0,44.0,578.0,218.0,False
1,2.0,Shikhar Dhawan,206.0,205.0,27.0,6244.0,106.0,35.08,4942.0,126.35,2.0,47.0,701.0,136.0,True
2,3.0,David Warner,162.0,162.0,22.0,5881.0,126.0,42.01,4180.0,140.69,4.0,54.0,561.0,211.0,False
3,4.0,Rohit Sharma,227.0,222.0,28.0,5879.0,109.0,30.3,4526.0,129.89,1.0,40.0,519.0,240.0,True
4,5.0,Suresh Raina,205.0,200.0,30.0,5528.0,100.0,32.52,4042.0,136.76,1.0,39.0,506.0,203.0,True
5,6.0,AB de Villiers,184.0,170.0,40.0,5162.0,133.0,39.7,3403.0,151.68,3.0,40.0,413.0,251.0,True
6,7.0,MS Dhoni,234.0,206.0,79.0,4978.0,84.0,39.2,3682.0,135.2,0.0,24.0,346.0,229.0,True
7,8.0,Chris Gayle,142.0,141.0,16.0,4965.0,175.0,39.72,3333.0,148.96,6.0,31.0,405.0,357.0,True
8,9.0,Robin Uthappa,205.0,197.0,17.0,4952.0,88.0,27.51,3799.0,130.35,0.0,27.0,481.0,182.0,False
9,10.0,Dinesh Karthik,229.0,208.0,45.0,4376.0,97.0,26.85,3299.0,132.65,0.0,19.0,406.0,125.0,True
10,11.0,Gautam Gambhir,154.0,152.0,16.0,4217.0,93.0,31.0,3404.0,123.88,0.0,36.0,492.0,59.0,False
11,12.0,Ambati Rayudu,188.0,175.0,31.0,4190.0,100.0,29.1,3296.0,127.12,1.0,22.0,349.0,164.0,True
12,13.0,Ajinkya Rahane,158.0,148.0,16.0,4074.0,105.0,30.86,3376.0,120.68,2.0,28.0,431.0,80.0,True
13,14.0,KL Rahul,109.0,100.0,19.0,3889.0,132.0,48.01,2855.0,136.22,4.0,31.0,327.0,164.0,True
14,15.0,Shane Watson,145.0,141.0,16.0,3874.0,117.0,30.99,2809.0,137.91,4.0,21.0,376.0,190.0,True
15,16.0,Manish Pandey,160.0,149.0,27.0,3648.0,114.0,29.9,3002.0,121.52,1.0,21.0,318.0,105.0,True
16,17.0,Sanju Samson,138.0,134.0,13.0,3526.0,119.0,29.14,2598.0,135.72,3.0,17.0,279.0,158.0,False
17,18.0,Kieron Pollard,189.0,171.0,52.0,3412.0,87.0,28.67,2316.0,147.32,0.0,16.0,218.0,223.0,True
18,19.0,Faf du Plessis,116.0,109.0,10.0,3403.0,96.0,34.37,2606.0,130.58,0.0,25.0,314.0,109.0,False
19,20.0,Yusuf Pathan,174.0,154.0,44.0,3204.0,100.0,29.13,2241.0,142.97,1.0,13.0,262.0,158.0,False
20,21.0,Brendon McCullum,109.0,109.0,5.0,2880.0,158.0,27.69,2186.0,131.75,2.0,13.0,293.0,130.0,True
