,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds,Bat_Inns_21_22,NOs_21_22,Run_21_22,HS_21,HS_22,Bat_Avg_21_22,BF_21_22,BatSR_21_22,100s_21_22,50s_21_22,4s_21_22,6s_21_22,Bowl_Inns_21_22,Ov_21_22,BowlRunsConc_21_22,Wkts_21_22,Bowl_Avg_21_22,Econ_21_22,BowlSR_21_22,4w_21_22,5w_21_22,Dots_21_22,Catches_21_22,Run outs,Stumpings_21_22
0,Deepak Chahar,India,Chennai Super Kings,Bowler,140000000,1396080.0,4.0,2.0,1.0,1.0,0.0,0.5,1.0,100.0,0.0,0.0,0.0,0.0,15.0,54.0,451.0,14.0,32.214285714285715,8.351851851851851,23.142857142857142,2.0,0.0,132.0,5.0,0.0,0.0
1,Ambati Rayudu,India,Chennai Super Kings,Wicket-Keeper,67500000,673110.0,26.0,4.0,531.0,72.0,78.0,22.125,394.0,134.7715736040609,0.0,3.0,41.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
2,Dwayne Bravo,West Indies,Chennai Super Kings,All-Rounder,44000000,438768.0,6.0,6.0,70.0,23.0,12.0,7.777777777777778,42.0,166.66666666666666,0.0,0.0,4.0,5.0,21.0,67.2,562.0,30.0,18.733333333333334,8.363095238095237,13.440000000000001,0.0,0.0,143.0,5.0,0.0,0.0
3,Shivam Dube,India,Chennai Super Kings,All-Rounder,40000000,398880.0,18.0,2.0,519.0,64.0,95.0,25.95,378.0,137.3015873015873,0.0,3.0,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0
4,Chris Jordan,England,Chennai Super Kings,All-Rounder,36000000,358992.0,4.0,1.0,43.0,30.0,6.0,10.75,29.0,148.27586206896552,0.0,0.0,1.0,3.0,8.0,24.5,231.0,6.0,38.5,9.428571428571429,24.5,0.0,0.0,23.0,4.0,1.5,0.0
5,Robin Uthappa,India,Chennai Super Kings,Batsman,20000000,199440.0,8.0,0.0,345.0,63.0,88.0,23.0,255.0,135.2941176470588,0.0,3.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.5,0.0
6,Mitchell Santner,New Zealand,Chennai Super Kings,All-Rounder,19000000,189468.0,0.0,2.0,22.0,0.0,11.0,5.5,27.0,81.48148148148148,0.0,0.0,3.0,0.0,6.0,19.0,130.0,4.0,32.5,6.842105263157895,28.5,0.0,0.0,43.0,2.0,1.5,0.0
7,Adam Milne,New Zealand,Chennai Super Kings,Bowler,19000000,189468.0,6.0,1.0,16.0,15.0,0.0,5.333333333333333,17.0,94.11764705882354,0.0,0.0,0.0,1.0,4.0,14.0,131.0,3.0,43.666666666666664,9.357142857142858,28.0,0.0,0.0,9.0,0.0,0.0,0.0
8,Rajvardhan Hangargekar,India,Chennai Super Kings,All-Rounder,15000000,149580.0,,,,,,,,,,,,,,,,,,,,,,,,,
9,Prashant Solanki,India,Chennai Super Kings,Bowler,12000000,119664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,38.0,2.0,19.0,6.333333333333333,18.0,0.0,0.0,12.0,0.0,0.0,0.0
