,Player,Bat_Inns_21_22,NOs_21_22,Run_21_22,HS_21,HS_22,Bat_Avg_21_22,BF_21_22,BatSR_21_22,100s_21_22,50s_21_22,4s_21_22,6s_21_22,Bowl_Inns_21_22,Ov_21_22,BowlRunsConc_21_22,Wkts_21_22,Bowl_Avg_21_22,Econ_21_22,BowlSR_21_22,4w_21_22,5w_21_22,Dots_21_22,Catches_21_22,Run outs,Stumpings_21_22
0,Ruturaj Gaikwad,32.0,2.0,1003.0,101.0,99.0,31.34375,757.0,132.49669749009246,1.0,7.0,97.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
1,Faf du Plessis,32.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0
2,Shikhar Dhawan,32.0,3.0,1047.0,92.0,88.0,32.71875,846.0,123.75886524822695,0.0,6.0,110.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
3,Glenn Maxwell,28.0,4.0,814.0,78.0,55.0,29.071428571428573,534.0,152.43445692883896,0.0,7.0,79.0,36.0,16.0,40.0,300.0,9.0,33.333333333333336,7.5,26.666666666666668,0.0,0.0,88.0,10.0,4.5,0.0
4,Sanju Samson,28.0,3.0,942.0,119.0,55.0,33.642857142857146,666.0,141.44144144144144,1.0,4.0,88.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,6.0
5,Prithvi Shaw,30.0,0.0,762.0,82.0,61.0,25.4,486.0,156.79012345679013,0.0,6.0,93.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
6,Shubman Gill,34.0,2.0,961.0,57.0,96.0,28.264705882352942,767.0,125.29335071707953,0.0,7.0,101.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
7,Mayank Agarwal,24.0,1.0,637.0,99.0,52.0,26.541666666666668,474.0,134.38818565400845,0.0,5.0,65.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.5,0.0
8,Rishabh Pant,32.0,6.0,759.0,58.0,44.0,23.71875,550.0,138.0,0.0,3.0,77.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,7.0
9,Devdutt Padikkal,28.0,1.0,787.0,101.0,54.0,28.107142857142858,634.0,124.13249211356467,1.0,2.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.5,0.0
10,Virat Kohli,30.0,2.0,746.0,72.0,73.0,24.866666666666667,633.0,117.85150078988941,0.0,5.0,75.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
11,Rahul Tripathi,32.0,5.0,810.0,74.0,76.0,25.3125,544.0,148.89705882352942,0.0,5.0,81.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
