,Player,Inns_bat,NO,Runs_bat,HS,Avg_bat,BF,SR_bat,100,50,4s,6s,HS_was_NO,Inns_BowlMVP,Ov,Runs_BowlMVP,Wkts,Avg_BowlMVP,Econ,SR_BowlMVP,4w,5w,Dots,Catches,Run outs,Stumpings
0,Jos Buttler,17.0,2.0,863.0,116.0,45.35,579.0,149.05,4.0,4.0,83.0,45.0,False,,,,,,,,,,0.0,9.0,0.0,0.0
1,K L Rahul,15.0,3.0,616.0,103.0,45.21,455.0,135.38,2.0,4.0,45.0,30.0,True,,,,,,,,,,,,,
2,Quinton De Kock,15.0,1.0,508.0,140.0,39.13,341.0,148.97,1.0,3.0,47.0,23.0,True,,,,,,,,,,,,,
3,Hardik Pandya,15.0,4.0,487.0,87.0,42.75,371.0,131.26,0.0,4.0,49.0,12.0,True,10.0,30.3,222.0,8.0,27.75,7.27,22.87,0.0,0.0,76.0,4.0,6.0,0.0
4,Shubman Gill,16.0,2.0,483.0,96.0,40.33,365.0,132.32,0.0,4.0,51.0,11.0,False,,,,,,,,,,0.0,7.0,0.0,0.0
5,David Miller,16.0,9.0,481.0,94.0,31.93,337.0,142.72,0.0,2.0,32.0,23.0,True,,,,,,,,,,0.0,6.0,3.0,0.0
6,Faf Du Plessis,16.0,1.0,468.0,96.0,28.11,367.0,127.52,0.0,3.0,49.0,13.0,False,,,,,,,,,,,,,
7,Shikhar Dhawan,14.0,2.0,460.0,88.0,40.09,375.0,122.66,0.0,3.0,47.0,12.0,True,,,,,,,,,,0.0,10.0,0.0,0.0
8,Sanju Samson,17.0,1.0,458.0,55.0,34.91,312.0,146.79,0.0,2.0,43.0,26.0,False,,,,,,,,,,0.0,14.0,6.0,2.0
9,Deepak Hooda,14.0,0.0,451.0,59.0,31.61,330.0,136.66,0.0,4.0,36.0,18.0,False,2.0,4.0,43.0,1.0,43.0,10.75,24.0,0.0,0.0,5.0,8.0,0.0,0.0
10,Liam Livingstone,14.0,2.0,437.0,70.0,28.92,240.0,182.08,0.0,4.0,29.0,34.0,False,12.0,23.0,202.0,6.0,33.66,8.78,23.0,0.0,0.0,38.0,6.0,0.0,0.0
11,David Warner,12.0,3.0,432.0,92.0,28.35,287.0,150.52,0.0,5.0,52.0,15.0,True,,,,,,,,,,0.0,6.0,0.0,0.0
12,Abhishek Sharma,14.0,0.0,426.0,75.0,29.46,320.0,133.12,0.0,2.0,47.0,13.0,False,,,,,,,,,,4.0,1.0,0.0,0.0
13,Ishan Kishan,14.0,1.0,418.0,81.0,29.3,348.0,120.11,0.0,3.0,45.0,11.0,True,,,,,,,,,,0.0,13.0,9.0,0.0
14,Rahul Tripathi,14.0,3.0,413.0,76.0,41.11,261.0,158.23,0.0,3.0,40.0,20.0,False,,,,,,,,,,0.0,6.0,0.0,0.0
15,Shreyas Iyer,14.0,1.0,401.0,85.0,25.5,298.0,134.56,0.0,3.0,41.0,11.0,False,,,,,,,,,,4.0,5.0,7.5,0.0
16,Tilak Varma,14.0,3.0,397.0,61.0,22.64,303.0,131.02,0.0,2.0,29.0,16.0,False,,,,,,,,,,,,,
17,Aiden Markram,12.0,4.0,381.0,68.0,31.3,274.0,139.05,0.0,3.0,25.0,19.0,True,4.0,6.0,64.0,1.0,64.0,10.66,36.0,0.0,0.0,8.0,6.0,0.0,0.0
18,Devdutt Padikkal,17.0,0.0,376.0,54.0,29.7,306.0,122.87,0.0,1.0,40.0,14.0,False,,,,,,,,,,0.0,5.0,1.5,0.0
19,Ruturaj Gaikwad,14.0,0.0,368.0,99.0,48.66,291.0,126.46,0.0,3.0,33.0,14.0,False,,,,,,,,,,0.0,4.0,0.0,0.0
20,Nitish Rana,14.0,1.0,361.0,57.0,44.33,251.0,143.82,0.0,2.0,29.0,22.0,False,,,,,,,,,,1.0,6.0,1.5,0.0
21,Virat Kohli,16.0,1.0,341.0,73.0,28.55,294.0,115.98,0.0,2.0,32.0,8.0,False,,,,,,,,,,0.0,9.0,0.0,0.0
22,Rishabh Pant,13.0,2.0,340.0,44.0,36.28,224.0,151.78,0.0,0.0,35.0,16.0,False,,,,,,,,,,0.0,8.0,3.0,4.0
23,Andre Russell,12.0,3.0,335.0,70.0,24.9,192.0,174.47,0.0,1.0,18.0,32.0,True,13.0,28.1,278.0,17.0,16.35,9.86,9.94,1.0,0.0,58.0,2.0,1.5,0.0
24,Rajat Patidar,7.0,1.0,333.0,112.0,41.33,218.0,152.75,1.0,2.0,27.0,18.0,True,,,,,,,,,,0.0,4.0,0.0,0.0
25,Dinesh Karthik,16.0,10.0,330.0,66.0,30.62,180.0,183.33,0.0,1.0,27.0,22.0,True,,,,,,,,,,0.0,10.0,3.0,2.0
26,Wriddhiman Saha,11.0,1.0,317.0,68.0,34.57,259.0,122.39,0.0,3.0,40.0,7.0,False,,,,,,,,,,0.0,11.0,4.5,2.0
27,Shimron Hetmyer,15.0,8.0,314.0,59.0,26.77,204.0,153.92,0.0,1.0,21.0,21.0,True,,,,,,,,,,0.0,3.0,4.5,0.0
28,Nicholas Pooran,13.0,5.0,306.0,64.0,28.75,212.0,144.33,0.0,2.0,16.0,21.0,True,,,,,,,,,,0.0,8.0,4.5,1.0
29,Suryakumar Yadav,8.0,1.0,303.0,68.0,75.66,208.0,145.67,0.0,3.0,23.0,16.0,True,,,,,,,,,,0.0,3.0,0.0,0.0
30,Glenn Maxwell,13.0,2.0,301.0,55.0,22.3,178.0,169.1,0.0,1.0,31.0,15.0,False,10.0,24.0,165.0,6.0,27.5,6.87,24.0,0.0,0.0,63.0,5.0,4.5,0.0
31,Shivam Dube,11.0,1.0,289.0,95.0,24.37,185.0,156.21,0.0,2.0,22.0,16.0,True,,,,,,,,,,1.0,6.0,0.0,0.0
32,Prithvi Shaw,10.0,0.0,283.0,61.0,21.44,185.0,152.97,0.0,2.0,37.0,10.0,False,,,,,,,,,,0.0,4.0,0.0,0.0
33,Ambati Rayudu,11.0,0.0,274.0,78.0,38.2,224.0,122.32,0.0,1.0,25.0,15.0,False,,,,,,,,,,0.0,4.0,0.0,0.0
34,Rohit Sharma,14.0,0.0,268.0,48.0,26.14,223.0,120.17,0.0,0.0,28.0,13.0,False,,,,,,,,,,0.0,7.0,0.0,0.0
35,Yashasvi Jaiswal,10.0,0.0,258.0,68.0,35.0,194.0,132.98,0.0,2.0,28.0,10.0,False,,,,,,,,,,0.0,2.0,0.0,0.0
36,Jonny Bairstow,11.0,0.0,253.0,66.0,16.0,175.0,144.57,0.0,2.0,34.0,9.0,False,,,,,,,,,,0.0,2.0,6.0,0.0
37,Devon Conway,7.0,1.0,252.0,87.0,17.77,173.0,145.66,0.0,3.0,22.0,12.0,False,,,,,,,,,,0.0,2.0,1.5,0.0
38,Mitchell Marsh,8.0,0.0,251.0,89.0,15.5,189.0,132.8,0.0,2.0,19.0,14.0,False,4.0,12.0,102.0,4.0,25.5,8.5,18.0,0.0,0.0,25.0,0.0,0.0,0.0
39,Rovman Powell,12.0,2.0,250.0,67.0,21.85,167.0,149.7,0.0,1.0,10.0,22.0,True,,,,,,,,,,0.0,10.0,0.0,0.0
40,Moeen Ali,10.0,0.0,244.0,93.0,25.33,177.0,137.85,0.0,1.0,24.0,11.0,False,10.0,23.5,158.0,8.0,19.75,6.62,17.87,0.0,0.0,56.0,5.0,0.0,0.0
41,Jitesh Sharma,10.0,2.0,234.0,44.0,30.2,143.0,163.63,0.0,0.0,22.0,12.0,False,,,,,,,,,,0.0,9.0,4.5,2.0
42,MS Dhoni,13.0,6.0,232.0,50.0,30.0,188.0,123.4,0.0,1.0,21.0,10.0,True,,,,,,,,,,0.0,9.0,4.5,0.0
43,Robin Uthappa,11.0,0.0,230.0,88.0,29.2,171.0,134.5,0.0,2.0,19.0,14.0,False,,,,,,,,,,0.0,5.0,1.5,0.0
44,Shahbaz Ahmed,11.0,3.0,219.0,45.0,14.3,181.0,120.99,0.0,0.0,14.0,9.0,False,14.0,35.0,336.0,4.0,84.0,9.6,52.5,0.0,0.0,,,,
45,Rahul Tewatia,12.0,5.0,217.0,43.0,11.08,147.0,147.61,0.0,0.0,22.0,9.0,True,,,,,,,,,,6.0,5.0,1.5,0.0
46,Kane Williamson,13.0,2.0,216.0,57.0,14.55,231.0,93.5,0.0,1.0,16.0,8.0,False,,,,,,,,,,0.0,10.0,0.0,0.0
47,Bhanuka Rajapaksa,9.0,0.0,206.0,43.0,14.11,129.0,159.68,0.0,0.0,16.0,13.0,False,,,,,,,,,,0.0,4.0,0.0,0.0
48,Mayank Agarwal,12.0,0.0,196.0,52.0,24.8,160.0,122.5,0.0,1.0,23.0,6.0,False,,,,,,,,,,0.0,10.0,1.5,0.0
49,Ravichandran Ashwin,12.0,5.0,191.0,50.0,28.75,135.0,141.48,0.0,1.0,14.0,9.0,False,17.0,67.0,503.0,12.0,41.91,7.5,33.5,0.0,0.0,122.0,5.0,0.0,0.0
50,Tim David,8.0,3.0,186.0,46.0,57.5,86.0,216.27,0.0,0.0,12.0,16.0,False,,,,,,,,,,0.0,6.0,0.0,0.0
51,Riyan Parag,14.0,3.0,183.0,56.0,16.28,132.0,138.63,0.0,1.0,11.0,10.0,True,4.0,4.0,59.0,1.0,59.0,14.75,24.0,0.0,0.0,3.0,17.0,1.5,0.0
52,Krunal Pandya,13.0,4.0,183.0,42.0,12.33,145.0,126.2,0.0,0.0,16.0,4.0,False,12.0,38.0,265.0,10.0,26.5,6.97,22.8,0.0,0.0,72.0,7.0,1.5,0.0
53,Axar Patel,10.0,6.0,182.0,42.0,16.33,120.0,151.66,0.0,0.0,12.0,10.0,True,13.0,43.0,321.0,6.0,53.5,7.46,43.0,0.0,0.0,86.0,8.0,0.0,0.0
54,Venkatesh Iyer,12.0,1.0,182.0,50.0,31.33,169.0,107.69,0.0,1.0,17.0,7.0,True,,,,,,,,,,3.0,4.0,1.5,0.0
55,Rinku Singh,7.0,2.0,174.0,42.0,31.0,117.0,148.71,0.0,0.0,17.0,7.0,True,,,,,,,,,,0.0,8.0,3.0,0.0
56,Sam Billings,8.0,1.0,169.0,36.0,11.62,138.0,122.46,0.0,0.0,9.0,10.0,False,,,,,,,,,,0.0,6.0,0.0,1.0
57,Dewald Brevis,7.0,0.0,161.0,49.0,22.25,113.0,142.47,0.0,0.0,14.0,11.0,False,1.0,0.3,8.0,1.0,8.0,16.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0
58,Ayush Badoni,11.0,3.0,161.0,54.0,14.16,130.0,123.84,0.0,1.0,11.0,7.0,False,2.0,2.0,11.0,2.0,5.5,5.5,6.0,0.0,0.0,4.0,9.0,1.5,0.0
