,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
0,Deepak Chahar,India,Chennai Super Kings,Bowler,140000000,1396080.0
1,Ambati Rayudu,India,Chennai Super Kings,Wicket-Keeper,67500000,673110.0
2,Dwayne Bravo,West Indies,Chennai Super Kings,All-Rounder,44000000,438768.0
3,Shivam Dube,India,Chennai Super Kings,All-Rounder,40000000,398880.0
4,Chris Jordan,England,Chennai Super Kings,All-Rounder,36000000,358992.0
5,Robin Uthappa,India,Chennai Super Kings,Batsman,20000000,199440.0
6,Mitchell Santner,New Zealand,Chennai Super Kings,All-Rounder,19000000,189468.0
7,Adam Milne,New Zealand,Chennai Super Kings,Bowler,19000000,189468.0
8,Rajvardhan Hangargekar,India,Chennai Super Kings,All-Rounder,15000000,149580.0
9,Prashant Solanki,India,Chennai Super Kings,Bowler,12000000,119664.0
10,Devon Conway,New Zealand,Chennai Super Kings,Batsman,10000000,99720.0
11,Maheesh Theekshana,Sri Lanka,Chennai Super Kings,Bowler,7000000,69804.0
12,Dwaine Pretorius,South Africa,Chennai Super Kings,All-Rounder,5000000,49860.0
13,C.Hari Nishaanth,India,Chennai Super Kings,Batsman,2000000,19944.0
14,Tushar Deshpande,India,Chennai Super Kings,Bowler,2000000,19944.0
15,Simarjeet Singh,India,Chennai Super Kings,Bowler,2000000,19944.0
16,Subhranshu Senapati,India,Chennai Super Kings,Batsman,2000000,19944.0
17,Mukesh Choudhary,India,Chennai Super Kings,Bowler,2000000,19944.0
18,K.Bhagath Varma,India,Chennai Super Kings,All-Rounder,2000000,19944.0
19,Shardul Thakur,India,Delhi Capitals,Bowler,107500000,1071990.0
20,Mitchell Marsh,Australia,Delhi Capitals,All-Rounder,65000000,648180.0
21,David Warner,Australia,Delhi Capitals,Batsman,62500000,623250.0
22,Syed Khaleel Ahmed,India,Delhi Capitals,Bowler,52500000,523530.0
23,Chetan Sakariya,India,Delhi Capitals,Bowler,42000000,418824.0
24,Rovman Powell,West Indies,Delhi Capitals,Batsman,28000000,279216.0
25,Mustafizur Rahman,Bangladesh,Delhi Capitals,Bowler,20000000,199440.0
26,Kuldeep Yadav,India,Delhi Capitals,Bowler,20000000,199440.0
27,Kamlesh Nagarkoti,India,Delhi Capitals,All-Rounder,11000000,109692.0
28,Lalit Yadav,India,Delhi Capitals,All-Rounder,6500000,64818.0
29,Lungisani Ngidi,South Africa,Delhi Capitals,Bowler,5000000,49860.0
30,Yash Dhull,India,Delhi Capitals,All-Rounder,5000000,49860.0
31,Tim Seifert,New Zealand,Delhi Capitals,Wicket-Keeper,5000000,49860.0
32,Pravin Dubey,India,Delhi Capitals,All-Rounder,5000000,49860.0
33,Ashwin Hebbar,India,Delhi Capitals,Batsman,2000000,19944.0
34,Sarfaraz Khan,India,Delhi Capitals,All-Rounder,2000000,19944.0
35,Vicky Ostwal,India,Delhi Capitals,All-Rounder,2000000,19944.0
36,Ripal Patel,India,Delhi Capitals,All-Rounder,2000000,19944.0
37,Lockie Ferguson,New Zealand,Gujarat Titans,Bowler,100000000,997200.0
38,Rahul Tewatia,India,Gujarat Titans,All-Rounder,90000000,897480.0
39,Mohammad Shami,India,Gujarat Titans,Bowler,62500000,623250.0
40,Yash Dayal,India,Gujarat Titans,Bowler,32000000,319104.0
41,David Miller,South Africa,Gujarat Titans,Batsman,30000000,299160.0
42,R. Sai Kishore,India,Gujarat Titans,Bowler,30000000,299160.0
43,Abhinav Sadarangani,India,Gujarat Titans,Batsman,26000000,259272.0
44,Matthew Wade,Australia,Gujarat Titans,Wicket-Keeper,24000000,239328.0
45,Alzarri Joseph,West Indies,Gujarat Titans,Bowler,24000000,239328.0
46,Jason Roy,England,Gujarat Titans,Batsman,20000000,199440.0
